State,State and Local Appropriations for Higher Education per Public-Sector FTE Student
Alabama,5668.962144
Alaska,16391.41184
Arizona,5148.1705
Arkansas,6757.205278
California,10157.47879
Colorado,4394.164764
Connecticut,10281.45298
Delaware,6326.739157
Florida,6483.871519
Georgia,8079.775353
Hawaii,15367.02525
Idaho,8254.461989
Illinois,15467.57352
Indiana,6454.765287
Iowa,5818.201588
Kansas,5847.412126
Kentucky,6622.77234
Louisiana,4891.787151
Maine,7733.471231
Maryland,8684.219147
Massachusetts,8740.628403
Michigan,5956.658635
Minnesota,6774.925549
Mississippi,5891.818952
Missouri,5691.450585
Montana,5746.650278
Nebraska,9274.338535
Nevada,7046.364784
New Hampshire,2958.947426
New Jersey,7062.454451
New Mexico,8932.228364
New York,10636.2092
North Carolina,8778.046042
North Dakota,8975.873492
Ohio,5591.538737
Oklahoma,5665.487582
Oregon,6513.898478
Pennsylvania,4430.877399
Rhode Island,6104.224492
South Carolina,5506.125331
South Dakota,6082.798802
Tennessee,7225.238156
Texas,7355.821243
US,7642.411621
Utah,6380.031351
Vermont,3016.824608
Virginia,5795.180182
Washington,7294.590869
Washington DC,9756.58444
West Virginia,4744.497133
Wisconsin,5953.034784
Wyoming,15820.82906
