,,Four years,Five years ,Six years
Tuition and Fees,Public four-year in-state,46061.73327,58453.58527,71217.19283
Debt,Public four-year in-state,24040,30050,36060
Tuition and Fees,Public four-year out-of-state,102457.0252,130020.736,158411.3581
Debt,Public four-year out-of-state,35800,44750,53700
Tuition and Fees,Private nonprofit four-year,162073.71,205675.9213,250586.1989
Debt,Private nonprofit four-year,38120,47650,57180
Tuition and Fees,For-profit,108146.758,137241.1607,167208.3955
Debt,For-profit,67320,84150,100980
Tuition and Fees,Public two-year,16985.52562,21555.09139,26261.74413
Debt,Public two-year,4320,5400,6480
